mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_features,param_max_depth,param_class_weight,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.9323338031768799,0.07801903602243766,0.21145410537719728,0.07545496687180671,200,2,1,sqrt,20,balanced_subsample,"{'n_estimators': 200, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 20, 'class_weight': 'balanced_subsample'}",0.9951002753983138,0.9902356902356902,0.9936299936299937,1.0,1.0,0.9957931918527996,0.003779943215523855,1
2.740395498275757,0.1050601814522074,0.33428659439086916,0.06728683604352942,400,5,1,sqrt,20,balanced_subsample,"{'n_estimators': 400, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 20, 'class_weight': 'balanced_subsample'}",0.9901641568308235,0.9951347996040734,0.9936299936299937,1.0,1.0,0.9957857900129781,0.003799819412064384,2
0.6805029392242432,0.05551450220630629,0.1374715805053711,0.01236964650769313,100,2,4,sqrt,20,,"{'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_depth': 20, 'class_weight': None}",0.9901641568308235,0.9951002753983138,0.9936299936299937,1.0,1.0,0.9957788851718263,0.003801027261459258,3
1.241185235977173,0.01859603226530998,0.15878496170043946,0.0032785399767784,300,5,4,sqrt,,,"{'n_estimators': 300, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_depth': None, 'class_weight': None}",0.9901641568308235,0.9951002753983138,0.9936299936299937,1.0,1.0,0.9957788851718263,0.003801027261459258,3
2.3945910930633545,0.377054541783647,0.29510860443115233,0.06866576231996953,400,2,4,sqrt,20,balanced,"{'n_estimators': 400, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_depth': 20, 'class_weight': 'balanced'}",0.9951002753983138,0.9951347996040734,0.9884681329374067,1.0,1.0,0.9957406415879587,0.004241480015350462,5
1.9106372356414796,0.06417427517425452,0.34853377342224123,0.04327207684723145,500,10,2,sqrt,,balanced,"{'n_estimators': 500, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': None, 'class_weight': 'balanced'}",0.9951002753983138,0.9951347996040734,0.9884681329374067,1.0,1.0,0.9957406415879587,0.004241480015350462,5
2.786226177215576,0.4242032774747467,0.4008155345916748,0.13695452891827795,500,5,4,sqrt,20,balanced,"{'n_estimators': 500, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_depth': 20, 'class_weight': 'balanced'}",0.9951002753983138,0.9951347996040734,0.9884681329374067,1.0,1.0,0.9957406415879587,0.004241480015350462,5
1.0524634838104248,0.058664417237776934,0.14239792823791503,0.04029450309309491,200,5,2,sqrt,,,"{'n_estimators': 200, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': None, 'class_weight': None}",0.9901641568308235,0.9902356902356902,0.9936299936299937,1.0,1.0,0.9948059681393016,0.004422051612683769,8
1.5028532981872558,0.42386747479813125,0.27132840156555177,0.08150600682327701,300,10,4,sqrt,,,"{'n_estimators': 300, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_depth': None, 'class_weight': None}",0.9901641568308235,0.9951002753983138,0.9936299936299937,1.0,0.9951002753983138,0.9947989402514889,0.003164815375638407,9
1.4547837257385254,0.3049380588993076,0.2809922695159912,0.12346422978287273,200,10,1,log2,30,balanced,"{'n_estimators': 200, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': 'log2', 'max_depth': 30, 'class_weight': 'balanced'}",0.9951002753983138,0.990302300695559,0.9884681329374067,1.0,1.0,0.9947741418062559,0.004785157502432649,10
3.455875825881958,0.5735164259705985,0.4445702075958252,0.1784003871867545,500,2,2,sqrt,20,balanced,"{'n_estimators': 500, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': 20, 'class_weight': 'balanced'}",0.9951002753983138,0.9951347996040734,0.9884681329374067,1.0,0.9951347996040734,0.9947676015087733,0.0036726458868721226,11
1.0617545604705811,0.1433576957471253,0.1437070846557617,0.07060356479035215,200,2,1,sqrt,20,balanced,"{'n_estimators': 200, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 20, 'class_weight': 'balanced'}",0.9951002753983138,0.9951347996040734,0.9884681329374067,1.0,0.9951347996040734,0.9947676015087733,0.0036726458868721226,11
2.8262637138366697,0.259522570800741,0.3340764999389648,0.07351251173170668,400,2,4,log2,15,balanced_subsample,"{'n_estimators': 400, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_features': 'log2', 'max_depth': 15, 'class_weight': 'balanced_subsample'}",0.9951002753983138,0.9951347996040734,0.9884681329374067,1.0,0.9951347996040734,0.9947676015087733,0.0036726458868721226,11
